date,ticker,fee_rate,available
2026-08-06,TQQQ,0.009679,10000000
2026-08-06,UPRO,0.010244,600000
2026-08-06,UDOW,0.026831,450000
2026-08-06,TNA,0.08207800000000001,700000
2026-08-06,TMF,0.014942,3300000
2026-08-06,SOXL,0.04141,10000000
2026-08-06,FAS,0.007164,550000
2026-08-06,ERX,0.063597,75000
2026-08-06,QLD,0.009291,2700000
2026-08-06,SSO,0.007919,1900000
2026-08-06,NVDL,0.08132999999999999,30000
2026-08-06,TSLL,0.0322,600000
2026-08-06,CONL,0.073514,300000
