,Pair,Long Short Band,Foil Decay Band,Leverage,Gross return %,Net return %,Borrow paid ($),Max drawdown %,Worst day %,Trades,Rate source,Shares available,Borrow rate (used) %,Breakeven borrow rate % (annualized),Min margin cushion ($),Stopped,De-risks
28,TQQQ / QQQ,0.05,0.1,3,9.678103044388267,9.142555205189225,53.55478391990429,-0.3369898797343058,-0.3268076100970313,237,live,10000000,0.8377000000000001,15.13841776004415,1910.9056777078858,False,0
29,TQQQ / QQQ,0.05,0.015,3,9.874820046258389,9.345966167395488,52.88538788629028,-0.34396228646374194,-0.3335906327755265,313,live,10000000,0.8377000000000001,15.641630104967206,2456.692545787182,False,0
30,TQQQ / QQQ,0.075,0.01,3,9.915692544761013,9.386716678339793,52.8975866421221,-0.3439622864637431,-0.33359063277552764,361,live,10000000,0.8377000000000001,15.702749732124799,2456.692545787182,False,0
31,TQQQ / QQQ,0.075,0.025,3,9.898166331823562,9.368614705989328,52.95516258342326,-0.34396228646374194,-0.33359063277552764,228,live,10000000,0.8377000000000001,15.657951994965991,2381.3216497934127,False,0
32,TQQQ / QQQ,0.075,0.05,3,10.74110092253828,10.20879545955119,53.23054629870911,-0.33502607932532896,-0.33502607932532896,174,live,10000000,0.8377000000000001,16.90349032361617,2199.5075442693997,False,0
33,TQQQ / QQQ,0.075,0.075,3,9.964498606896978,9.431048077240789,53.345052965618954,-0.3674908208823831,-0.35652122437590833,169,live,10000000,0.8377000000000001,15.64767493693826,2126.1417684030266,False,0
34,TQQQ / QQQ,0.075,0.1,3,10.410376338093087,9.874828498894045,53.55478391990429,-0.3165697425283554,-0.3165697425283554,170,live,10000000,0.8377000000000001,16.28383427232802,1925.1172820585925,False,0
35,TQQQ / QQQ,0.075,0.015,3,9.874820046258389,9.345966167395488,52.88538788629028,-0.34396228646374194,-0.3335906327755265,313,live,10000000,0.8377000000000001,15.641630104967206,2456.692545787182,False,0
36,TQQQ / QQQ,0.1,0.01,3,9.915692544761013,9.386716678339793,52.8975866421221,-0.3439622864637431,-0.33359063277552764,361,live,10000000,0.8377000000000001,15.702749732124799,2456.692545787182,False,0
37,TQQQ / QQQ,0.1,0.025,3,9.898166331823562,9.368614705989328,52.95516258342326,-0.34396228646374194,-0.33359063277552764,228,live,10000000,0.8377000000000001,15.657951994965991,2381.3216497934127,False,0
38,TQQQ / QQQ,0.1,0.05,3,11.208559018773293,10.6762535557862,53.23054629870911,-0.33502607932533013,-0.33502607932533013,112,live,10000000,0.8377000000000001,17.639138695546492,2290.6020584271973,False,0
39,TQQQ / QQQ,0.1,0.075,3,10.184302749609282,9.650852219953093,53.345052965618954,-0.3674908208823831,-0.35652122437590833,134,live,10000000,0.8377000000000001,15.992842708106794,2150.3526897885504,False,0
40,TQQQ / QQQ,0.1,0.1,3,10.87810767663124,10.342559837432196,53.55478391990429,-0.3165697425283565,-0.3165697425283565,125,live,10000000,0.8377000000000001,17.015456199660235,1937.5487082921827,False,0
41,TQQQ / QQQ,0.1,0.015,3,9.874820046258389,9.345966167395488,52.88538788629028,-0.34396228646374194,-0.3335906327755265,313,live,10000000,0.8377000000000001,15.641630104967206,2456.692545787182,False,0
42,UPRO / SPY,0.005,0.01,3,8.130642802383104,7.566693009525796,56.39497928573066,-1.221292802808528,-1.221292802808528,445,live,800000,0.8934,12.880430796588547,2450.1674044207393,False,0
43,UPRO / SPY,0.005,0.025,3,8.120044117227893,7.554548445636191,56.549567159170344,-1.2212928028085275,-1.2212928028085275,445,live,800000,0.8934,12.82847558127585,2377.2746405278285,False,0
44,UPRO / SPY,0.005,0.05,3,8.142156920357838,7.5741715976415565,56.798532271628154,-1.221292802808528,-1.221292802808528,444,live,800000,0.8934,12.807026346843239,2185.1905022316205,False,0
45,UPRO / SPY,0.005,0.075,3,8.155325369751719,7.583963433813149,57.13619359385705,-1.221292802808528,-1.221292802808528,448,live,800000,0.8934,12.751930478826159,2008.6457879131385,False,0
46,UPRO / SPY,0.005,0.1,3,8.062306793467052,7.493285336372788,56.902145709426364,-1.221292802808528,-1.221292802808528,447,live,800000,0.8934,12.658336165502867,1890.4739075065481,False,0
47,UPRO / SPY,0.005,0.015,3,8.135064555629356,7.5706992616026385,56.43652940267166,-1.221292802808528,-1.221292802808528,445,live,800000,0.8934,12.877947582749746,2450.1674044207393,False,0
48,UPRO / SPY,0.0075,0.01,3,8.13472069736615,7.570770904508844,56.39497928573066,-1.221292802808528,-1.221292802808528,430,live,800000,0.8934,12.886890930848718,2450.3428924223044,False,0
49,UPRO / SPY,0.0075,0.025,3,8.123241463863383,7.557745792271681,56.54956715917036,-1.2212928028085275,-1.2212928028085275,430,live,800000,0.8934,12.833526918761965,2377.4501285293954,False,0
50,UPRO / SPY,0.0075,0.05,3,8.146100654898731,7.57811533218245,56.798532271628154,-1.221292802808528,-1.221292802808528,429,live,800000,0.8934,12.813229557204354,2185.3659902331874,False,0
51,UPRO / SPY,0.0075,0.075,3,8.155866173732313,7.584504237793745,57.13619359385701,-1.221292802808528,-1.221292802808528,431,live,800000,0.8934,12.752776097418995,2008.8212759147054,False,0
52,UPRO / SPY,0.0075,0.1,3,8.06877993611362,7.499758479019356,56.90214570942636,-1.221292802808528,-1.221292802808528,430,live,800000,0.8934,12.66849941254451,1890.7214808137069,False,0
53,UPRO / SPY,0.0075,0.015,3,8.139172314675553,7.574807020648837,56.43652940267166,-1.221292802808528,-1.221292802808528,430,live,800000,0.8934,12.884450236209688,2450.3428924223044,False,0
54,UPRO / SPY,0.01,0.01,3,8.13830327765187,7.574353484794563,56.39497928573066,-1.221292802808528,-1.221292802808528,409,live,800000,0.8934,12.892566395700026,2450.3428924223044,False,0
55,UPRO / SPY,0.01,0.025,3,8.127410258713528,7.5619145871218265,56.54956715917035,-1.2212928028085275,-1.2212928028085275,407,live,800000,0.8934,12.840113001567227,2377.4501285293954,False,0
56,UPRO / SPY,0.01,0.05,3,8.149183395065737,7.581198072349456,56.798532271628154,-1.221292802808528,-1.221292802808528,407,live,800000,0.8934,12.818078485433752,2185.3659902331874,False,0
57,UPRO / SPY,0.01,0.075,3,8.158346479627061,7.586984543688491,57.13619359385701,-1.221292802808528,-1.221292802808528,411,live,800000,0.8934,12.756654383925298,2008.8212759147054,False,0
58,UPRO / SPY,0.01,0.1,3,8.07231199961854,7.503290542524279,56.90214570942636,-1.221292802808528,-1.221292802808528,409,live,800000,0.8934,12.674044977647467,1890.5243348757958,False,0
59,UPRO / SPY,0.01,0.015,3,8.137491282326556,7.573125988299839,56.43652940267166,-1.221292802808528,-1.221292802808528,413,live,800000,0.8934,12.881789132990745,2450.3428924223044,False,0
60,UPRO / SPY,0.025,0.01,3,8.064184477534933,7.500234684677627,56.39497928573066,-1.221292802808528,-1.221292802808528,325,live,800000,0.8934,12.775148609820588,2468.3623335254506,False,0
61,UPRO / SPY,0.025,0.025,3,8.132871526857395,7.567375855265691,56.54956715917035,-1.2212928028085275,-1.2212928028085275,300,live,800000,0.8934,12.848741002106994,2376.9886709782095,False,0
62,UPRO / SPY,0.025,0.05,3,8.136968170796797,7.568982848080517,56.798532271628154,-1.221292802808528,-1.221292802808528,297,live,800000,0.8934,12.798864817535291,2183.3173987225273,False,0
63,UPRO / SPY,0.025,0.075,3,8.16522106830812,7.59385913236955,57.136193593856994,-1.221292802808528,-1.221292802808528,296,live,800000,0.8934,12.76740371310063,2030.3226713545664,False,0
64,UPRO / SPY,0.025,0.1,3,8.017815674752596,7.4487942176583335,56.902145709426364,-1.221292802808528,-1.221292802808528,294,live,800000,0.8934,12.58848226990028,1886.5917678514525,False,0
65,UPRO / SPY,0.025,0.015,3,8.145513301974313,7.581148007947597,56.43652940267166,-1.221292802808528,-1.221292802808528,304,live,800000,0.8934,12.894488128533457,2456.298657050721,False,0
66,UPRO / SPY,0.05,0.01,3,8.062060865663154,7.498111072805849,56.39497928573066,-1.221292802808528,-1.221292802808528,324,live,800000,0.8934,12.771784418769764,2468.3623335254506,False,0
67,UPRO / SPY,0.05,0.025,3,8.173493973814075,7.607998302222371,56.54956715917035,-1.2212928028085275,-1.2212928028085275,171,live,800000,0.8934,12.912918494410244,2416.3624387429354,False,0
68,UPRO / SPY,0.05,0.05,3,8.239487842049925,7.671502519333644,56.798532271628154,-1.2212928028085275,-1.2212928028085275,182,live,800000,0.8934,12.960120875807233,2189.609394537518,False,0
